Date Purchased,Quantity,Player,Year,Set,Variation,Number,Category,Condition,Investment,Estimated Value,Ladder ID,Notes,Date Sold,Sold Price,Image
08/23/2026,1,Player 001,2021,Topps Chrome,,001,Baseball,Raw,5.0,15.0,,8492-001,,,
08/23/2026,1,Player 002,2021,Topps Chrome,,002,Baseball,Raw,5.0,15.0,,8492-002,,,
08/23/2026,1,Player 003,2021,Topps Chrome,,003,Baseball,Raw,5.0,15.0,,8492-003,,,
08/23/2026,1,Player 004,2021,Topps Chrome,,004,Baseball,Raw,5.0,15.0,,8492-004,,,
08/23/2026,1,Player 005,2021,Topps Chrome,,005,Baseball,Raw,5.0,15.0,,8492-005,,,
08/23/2026,1,Player 006,2021,Topps Chrome,,006,Baseball,Raw,5.0,15.0,,8492-006,,,
08/23/2026,1,Player 007,2021,Topps Chrome,,007,Baseball,Raw,5.0,15.0,,8492-007,,,
08/23/2026,1,Player 008,2021,Topps Chrome,,008,Baseball,Raw,5.0,15.0,,8492-008,,,
08/23/2026,1,Player 009,2021,Topps Chrome,,009,Baseball,Raw,5.0,15.0,,8492-009,,,
08/23/2026,1,Player 010,2021,Topps Chrome,,010,Baseball,Raw,5.0,15.0,,8492-010,,,
08/23/2026,1,Player 011,2021,Topps Chrome,,011,Baseball,Raw,5.0,15.0,,8492-011,,,
08/23/2026,1,Player 012,2021,Topps Chrome,,012,Baseball,Raw,5.0,15.0,,8492-012,,,
08/23/2026,1,Player 013,2021,Topps Chrome,,013,Baseball,Raw,5.0,15.0,,8492-013,,,
08/23/2026,1,Player 014,2021,Topps Chrome,,014,Baseball,Raw,5.0,15.0,,8492-014,,,
08/23/2026,1,Player 015,2021,Topps Chrome,,015,Baseball,Raw,5.0,15.0,,8492-015,,,
08/23/2026,1,Player 016,2021,Topps Chrome,,016,Baseball,Raw,5.0,15.0,,8492-016,,,
08/23/2026,1,Player 017,2021,Topps Chrome,,017,Baseball,Raw,5.0,15.0,,8492-017,,,
08/23/2026,1,Player 018,2021,Topps Chrome,,018,Baseball,Raw,5.0,15.0,,8492-018,,,
08/23/2026,1,Player 019,2021,Topps Chrome,,019,Baseball,Raw,5.0,15.0,,8492-019,,,
08/23/2026,1,Player 020,2021,Topps Chrome,,020,Baseball,Raw,5.0,15.0,,8492-020,,,
08/23/2026,1,Player 021,2021,Topps Chrome,,021,Baseball,Raw,5.0,15.0,,8492-021,,,
08/23/2026,1,Player 022,2021,Topps Chrome,,022,Baseball,Raw,5.0,15.0,,8492-022,,,
08/23/2026,1,Player 023,2021,Topps Chrome,,023,Baseball,Raw,5.0,15.0,,8492-023,,,
08/23/2026,1,Player 024,2021,Topps Chrome,,024,Baseball,Raw,5.0,15.0,,8492-024,,,
08/23/2026,1,Player 025,2021,Topps Chrome,,025,Baseball,Raw,5.0,15.0,,8492-025,,,
08/23/2026,1,Player 026,2021,Topps Chrome,,026,Baseball,Raw,5.0,15.0,,8492-026,,,
08/23/2026,1,Player 027,2021,Topps Chrome,,027,Baseball,Raw,5.0,15.0,,8492-027,,,
08/23/2026,1,Player 028,2021,Topps Chrome,,028,Baseball,Raw,5.0,15.0,,8492-028,,,
08/23/2026,1,Player 029,2021,Topps Chrome,,029,Baseball,Raw,5.0,15.0,,8492-029,,,
08/23/2026,1,Player 030,2021,Topps Chrome,,030,Baseball,Raw,5.0,15.0,,8492-030,,,
08/23/2026,1,Player 031,2021,Topps Chrome,,031,Baseball,Raw,5.0,15.0,,8492-031,,,
08/23/2026,1,Player 032,2021,Topps Chrome,,032,Baseball,Raw,5.0,15.0,,8492-032,,,
08/23/2026,1,Player 033,2021,Topps Chrome,,033,Baseball,Raw,5.0,15.0,,8492-033,,,
08/23/2026,1,Player 034,2021,Topps Chrome,,034,Baseball,Raw,5.0,15.0,,8492-034,,,
08/23/2026,1,Player 035,2021,Topps Chrome,,035,Baseball,Raw,5.0,15.0,,8492-035,,,
08/23/2026,1,Player 036,2021,Topps Chrome,,036,Baseball,Raw,5.0,15.0,,8492-036,,,
08/23/2026,1,Player 037,2021,Topps Chrome,,037,Baseball,Raw,5.0,15.0,,8492-037,,,
08/23/2026,1,Player 038,2021,Topps Chrome,,038,Baseball,Raw,5.0,15.0,,8492-038,,,
08/23/2026,1,Player 039,2021,Topps Chrome,,039,Baseball,Raw,5.0,15.0,,8492-039,,,
08/23/2026,1,Player 040,2021,Topps Chrome,,040,Baseball,Raw,5.0,15.0,,8492-040,,,
08/23/2026,1,Player 041,2021,Topps Chrome,,041,Baseball,Raw,5.0,15.0,,8492-041,,,
08/23/2026,1,Player 042,2021,Topps Chrome,,042,Baseball,Raw,5.0,15.0,,8492-042,,,
08/23/2026,1,Player 043,2021,Topps Chrome,,043,Baseball,Raw,5.0,15.0,,8492-043,,,
08/23/2026,1,Player 044,2021,Topps Chrome,,044,Baseball,Raw,5.0,15.0,,8492-044,,,
08/23/2026,1,Player 045,2021,Topps Chrome,,045,Baseball,Raw,5.0,15.0,,8492-045,,,
08/23/2026,1,Player 046,2021,Topps Chrome,,046,Baseball,Raw,5.0,15.0,,8492-046,,,
08/23/2026,1,Player 047,2021,Topps Chrome,,047,Baseball,Raw,5.0,15.0,,8492-047,,,
08/23/2026,1,Player 048,2021,Topps Chrome,,048,Baseball,Raw,5.0,15.0,,8492-048,,,
08/23/2026,1,Player 049,2021,Topps Chrome,,049,Baseball,Raw,5.0,15.0,,8492-049,,,
08/23/2026,1,Player 050,2021,Topps Chrome,,050,Baseball,Raw,5.0,15.0,,8492-050,,,
08/23/2026,1,Player 051,2021,Topps Chrome,,051,Baseball,Raw,5.0,15.0,,8492-051,,,
08/23/2026,1,Player 052,2021,Topps Chrome,,052,Baseball,Raw,5.0,15.0,,8492-052,,,
08/23/2026,1,Player 053,2021,Topps Chrome,,053,Baseball,Raw,5.0,15.0,,8492-053,,,
08/23/2026,1,Player 054,2021,Topps Chrome,,054,Baseball,Raw,5.0,15.0,,8492-054,,,
08/23/2026,1,Player 055,2021,Topps Chrome,,055,Baseball,Raw,5.0,15.0,,8492-055,,,
08/23/2026,1,Player 056,2021,Topps Chrome,,056,Baseball,Raw,5.0,15.0,,8492-056,,,
08/23/2026,1,Player 057,2021,Topps Chrome,,057,Baseball,Raw,5.0,15.0,,8492-057,,,
08/23/2026,1,Player 058,2021,Topps Chrome,,058,Baseball,Raw,5.0,15.0,,8492-058,,,
08/23/2026,1,Player 059,2021,Topps Chrome,,059,Baseball,Raw,5.0,15.0,,8492-059,,,
08/23/2026,1,Player 060,2021,Topps Chrome,,060,Baseball,Raw,5.0,15.0,,8492-060,,,
08/23/2026,1,Player 061,2021,Topps Chrome,,061,Baseball,Raw,5.0,15.0,,8492-061,,,
08/23/2026,1,Player 062,2021,Topps Chrome,,062,Baseball,Raw,5.0,15.0,,8492-062,,,
08/23/2026,1,Player 063,2021,Topps Chrome,,063,Baseball,Raw,5.0,15.0,,8492-063,,,
08/23/2026,1,Player 064,2021,Topps Chrome,,064,Baseball,Raw,5.0,15.0,,8492-064,,,
08/23/2026,1,Player 065,2021,Topps Chrome,,065,Baseball,Raw,5.0,15.0,,8492-065,,,
08/23/2026,1,Player 066,2021,Topps Chrome,,066,Baseball,Raw,5.0,15.0,,8492-066,,,
08/23/2026,1,Player 067,2021,Topps Chrome,,067,Baseball,Raw,5.0,15.0,,8492-067,,,
08/23/2026,1,Player 068,2021,Topps Chrome,,068,Baseball,Raw,5.0,15.0,,8492-068,,,
08/23/2026,1,Player 069,2021,Topps Chrome,,069,Baseball,Raw,5.0,15.0,,8492-069,,,
08/23/2026,1,Player 070,2021,Topps Chrome,,070,Baseball,Raw,5.0,15.0,,8492-070,,,
08/23/2026,1,Player 071,2021,Topps Chrome,,071,Baseball,Raw,5.0,15.0,,8492-071,,,
08/23/2026,1,Player 072,2021,Topps Chrome,,072,Baseball,Raw,5.0,15.0,,8492-072,,,
08/23/2026,1,Player 073,2021,Topps Chrome,,073,Baseball,Raw,5.0,15.0,,8492-073,,,
08/23/2026,1,Player 074,2021,Topps Chrome,,074,Baseball,Raw,5.0,15.0,,8492-074,,,
08/23/2026,1,Player 075,2021,Topps Chrome,,075,Baseball,Raw,5.0,15.0,,8492-075,,,
08/23/2026,1,Player 076,2021,Topps Chrome,,076,Baseball,Raw,5.0,15.0,,8492-076,,,
08/23/2026,1,Player 077,2021,Topps Chrome,,077,Baseball,Raw,5.0,15.0,,8492-077,,,
08/23/2026,1,Player 078,2021,Topps Chrome,,078,Baseball,Raw,5.0,15.0,,8492-078,,,
08/23/2026,1,Player 079,2021,Topps Chrome,,079,Baseball,Raw,5.0,15.0,,8492-079,,,
08/23/2026,1,Player 080,2021,Topps Chrome,,080,Baseball,Raw,5.0,15.0,,8492-080,,,
08/23/2026,1,Player 081,2021,Topps Chrome,,081,Baseball,Raw,5.0,15.0,,8492-081,,,
08/23/2026,1,Player 082,2021,Topps Chrome,,082,Baseball,Raw,5.0,15.0,,8492-082,,,
08/23/2026,1,Player 083,2021,Topps Chrome,,083,Baseball,Raw,5.0,15.0,,8492-083,,,
08/23/2026,1,Player 084,2021,Topps Chrome,,084,Baseball,Raw,5.0,15.0,,8492-084,,,
08/23/2026,1,Player 085,2021,Topps Chrome,,085,Baseball,Raw,5.0,15.0,,8492-085,,,
08/23/2026,1,Player 086,2021,Topps Chrome,,086,Baseball,Raw,5.0,15.0,,8492-086,,,
08/23/2026,1,Player 087,2021,Topps Chrome,,087,Baseball,Raw,5.0,15.0,,8492-087,,,
08/23/2026,1,Player 088,2021,Topps Chrome,,088,Baseball,Raw,5.0,15.0,,8492-088,,,
08/23/2026,1,Player 089,2021,Topps Chrome,,089,Baseball,Raw,5.0,15.0,,8492-089,,,
08/23/2026,1,Player 090,2021,Topps Chrome,,090,Baseball,Raw,5.0,15.0,,8492-090,,,
08/23/2026,1,Player 091,2021,Topps Chrome,,091,Baseball,Raw,5.0,15.0,,8492-091,,,
08/23/2026,1,Player 092,2021,Topps Chrome,,092,Baseball,Raw,5.0,15.0,,8492-092,,,
08/23/2026,1,Player 093,2021,Topps Chrome,,093,Baseball,Raw,5.0,15.0,,8492-093,,,
08/23/2026,1,Player 094,2021,Topps Chrome,,094,Baseball,Raw,5.0,15.0,,8492-094,,,
08/23/2026,1,Player 095,2021,Topps Chrome,,095,Baseball,Raw,5.0,15.0,,8492-095,,,
08/23/2026,1,Player 096,2021,Topps Chrome,,096,Baseball,Raw,5.0,15.0,,8492-096,,,
08/23/2026,1,Player 097,2021,Topps Chrome,,097,Baseball,Raw,5.0,15.0,,8492-097,,,
08/23/2026,1,Player 098,2021,Topps Chrome,,098,Baseball,Raw,5.0,15.0,,8492-098,,,
08/23/2026,1,Player 099,2021,Topps Chrome,,099,Baseball,Raw,5.0,15.0,,8492-099,,,
08/23/2026,1,Player 100,2021,Topps Chrome,,100,Baseball,Raw,5.0,15.0,,8492-100,,,
08/23/2026,1,Player 101,2021,Topps Chrome,,101,Baseball,Raw,5.0,15.0,,8492-101,,,
08/23/2026,1,Player 102,2021,Topps Chrome,,102,Baseball,Raw,5.0,15.0,,8492-102,,,
08/23/2026,1,Player 103,2021,Topps Chrome,,103,Baseball,Raw,5.0,15.0,,8492-103,,,
08/23/2026,1,Player 104,2021,Topps Chrome,,104,Baseball,Raw,5.0,15.0,,8492-104,,,
08/23/2026,1,Player 105,2021,Topps Chrome,,105,Baseball,Raw,5.0,15.0,,8492-105,,,
08/23/2026,1,Player 106,2021,Topps Chrome,,106,Baseball,Raw,5.0,15.0,,8492-106,,,
08/23/2026,1,Player 107,2021,Topps Chrome,,107,Baseball,Raw,5.0,15.0,,8492-107,,,
08/23/2026,1,Player 108,2021,Topps Chrome,,108,Baseball,Raw,5.0,15.0,,8492-108,,,
08/23/2026,1,Player 109,2021,Topps Chrome,,109,Baseball,Raw,5.0,15.0,,8492-109,,,
08/23/2026,1,Player 110,2021,Topps Chrome,,110,Baseball,Raw,5.0,15.0,,8492-110,,,
08/23/2026,1,Player 111,2021,Topps Chrome,,111,Baseball,Raw,5.0,15.0,,8492-111,,,
08/23/2026,1,Player 112,2021,Topps Chrome,,112,Baseball,Raw,5.0,15.0,,8492-112,,,
08/23/2026,1,Player 113,2021,Topps Chrome,,113,Baseball,Raw,5.0,15.0,,8492-113,,,
08/23/2026,1,Player 114,2021,Topps Chrome,,114,Baseball,Raw,5.0,15.0,,8492-114,,,
08/23/2026,1,Player 115,2021,Topps Chrome,,115,Baseball,Raw,5.0,15.0,,8492-115,,,
08/23/2026,1,Player 116,2021,Topps Chrome,,116,Baseball,Raw,5.0,15.0,,8492-116,,,
08/23/2026,1,Player 117,2021,Topps Chrome,,117,Baseball,Raw,5.0,15.0,,8492-117,,,
08/23/2026,1,Player 118,2021,Topps Chrome,,118,Baseball,Raw,5.0,15.0,,8492-118,,,
08/23/2026,1,Player 119,2021,Topps Chrome,,119,Baseball,Raw,5.0,15.0,,8492-119,,,
08/23/2026,1,Player 120,2021,Topps Chrome,,120,Baseball,Raw,5.0,15.0,,8492-120,,,
08/23/2026,1,Player 121,2021,Topps Chrome,,121,Baseball,Raw,5.0,15.0,,8492-121,,,
08/23/2026,1,Player 122,2021,Topps Chrome,,122,Baseball,Raw,5.0,15.0,,8492-122,,,
08/23/2026,1,Player 123,2021,Topps Chrome,,123,Baseball,Raw,5.0,15.0,,8492-123,,,
08/23/2026,1,Player 124,2021,Topps Chrome,,124,Baseball,Raw,5.0,15.0,,8492-124,,,
08/23/2026,1,Player 125,2021,Topps Chrome,,125,Baseball,Raw,5.0,15.0,,8492-125,,,
08/23/2026,1,Player 126,2021,Topps Chrome,,126,Baseball,Raw,5.0,15.0,,8492-126,,,
08/23/2026,1,Player 127,2021,Topps Chrome,,127,Baseball,Raw,5.0,15.0,,8492-127,,,
08/23/2026,1,Player 128,2021,Topps Chrome,,128,Baseball,Raw,5.0,15.0,,8492-128,,,
08/23/2026,1,Player 129,2021,Topps Chrome,,129,Baseball,Raw,5.0,15.0,,8492-129,,,
